,player,team,age,pts_per_poss,fgm,fga,fgpct,three_pm,three_pa,three_ppct,ftm,fta,ftpct,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,ddtwo_,tdthree_,plus_minus,fgm_less_than_5ft,fga_less_than_5ft,fgpct_less_than_5ft,fgm_5minus9_ft,fga_5minus9_ft,fgpct_5minus9_ft,fgm_10minus14_ft,fga_10minus14_ft,fgpct_10minus14_ft,fgm_15minus19_ft,fga_15minus19_ft,fgpct_15minus19_ft,fgm_two_0minustwo_4_ft,fga_two_0minustwo_4_ft,fgpct_two_0minustwo_4_ft,fgm_two_5minustwo_9_ft,fga_two_5minustwo_9_ft,fgpct_two_5minustwo_9_ft,pts,touches,front_ct_touches,time_of_poss,avg_sec_per_touch,avg_drib_per_touch,pts_per_touch,elbow_touches,post_ups,paint_touches,pts_per_elbow_touch,pts_per_post_touch,pts_per_paint_touch
106,sam merrill,CLE,26,0.1,0.05,0.2,25.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.1,0.235,0,0,-0.45,0.0,0.0,0.0,0.3,0.3,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,5.0,4.3,0.2,2.34,1.2,0.133,0.3,0.0,0.3,2.0,0.0,2.0
107,malcolm brogdon,BOS,30,0.272,0.096,0.199,48.4,0.036,0.082,43.9,0.044,0.05,87.9,0.011,0.066,0.077,0.069,0.027,0.013,0.005,0.031,0.495,0,0,0.049,1.9,3.4,54.9,0.5,1.2,42.3,0.4,0.8,51.0,0.3,0.7,48.9,0.6,1.3,45.8,1.5,3.3,44.2,14.7,52.6,21.3,3.9,4.46,4.43,0.279,0.4,0.0,0.8,0.792,0.0,0.804
108,jaden springer,PHI,20,0.207,0.081,0.198,40.9,0.0,0.018,0.0,0.045,0.054,83.3,0.045,0.063,0.108,0.045,0.009,0.054,0.018,0.081,0.612,0,0,-0.09,0.5,0.8,66.7,0.2,0.4,40.0,0.1,0.4,25.0,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.1,0.0,1.6,3.9,2.3,0.2,3.6,2.59,0.426,0.1,0.0,0.4,0.0,0.0,1.333
109,tre mann,OKC,22,0.201,0.077,0.198,38.7,0.033,0.103,31.7,0.015,0.02,74.0,0.011,0.048,0.059,0.044,0.023,0.016,0.005,0.04,0.375,0,0,0.018,0.8,1.5,55.3,0.3,1.0,33.3,0.3,0.6,43.9,0.3,0.5,48.4,0.5,1.2,41.3,0.8,2.7,28.7,7.7,29.9,15.8,1.9,3.9,3.56,0.256,0.1,0.0,0.4,0.857,0.0,0.692
110,pj dozier,SAC,26,0.127,0.056,0.197,28.6,0.014,0.099,14.3,0.0,0.0,0.0,0.0,0.099,0.099,0.014,0.028,0.042,0.014,0.028,0.407,0,0,-0.07,0.2,0.4,50.0,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.3,50.0,0.0,0.4,0.0,0.1,0.3,33.3,0.8,4.8,2.2,0.2,2.96,2.14,0.158,0.1,0.0,0.0,2.0,0.0,0.0
111,terence davis,SAC,25,0.242,0.086,0.197,43.8,0.05,0.131,38.1,0.02,0.024,82.9,0.012,0.069,0.08,0.037,0.029,0.025,0.007,0.058,0.46,0,0,0.049,0.8,1.3,57.5,0.1,0.2,66.7,0.0,0.1,20.0,0.1,0.3,50.0,0.6,1.5,41.1,0.8,2.2,35.6,6.6,19.9,13.4,0.7,2.16,1.62,0.334,0.1,0.0,0.5,0.4,0.0,0.903
112,buddy hield,IND,30,0.252,0.089,0.197,45.4,0.054,0.128,42.1,0.02,0.024,82.0,0.013,0.062,0.075,0.042,0.026,0.017,0.005,0.03,0.445,3,0,-0.02,1.6,2.6,61.2,0.1,0.5,28.9,0.2,0.5,42.9,0.3,0.6,39.6,1.3,2.8,47.4,2.4,6.1,40.0,16.9,59.3,34.4,2.0,2.03,1.35,0.285,0.4,0.0,0.9,0.788,0.0,0.955
113,jerami grant,POR,29,0.278,0.093,0.197,47.5,0.031,0.077,40.1,0.06,0.074,81.3,0.011,0.05,0.061,0.032,0.025,0.011,0.011,0.033,0.442,2,0,-0.008,3.1,4.9,63.7,0.4,1.1,35.7,0.4,1.0,38.7,0.5,1.3,42.0,1.3,3.1,41.5,1.2,3.1,37.6,20.5,53.3,32.9,2.2,2.51,1.44,0.384,0.9,2.7,1.9,0.509,0.434,1.0
114,james harden,PHI,33,0.286,0.087,0.196,44.2,0.038,0.098,38.5,0.075,0.087,86.5,0.01,0.074,0.084,0.146,0.046,0.017,0.007,0.026,0.632,35,5,0.075,2.1,3.7,57.4,0.6,1.6,36.4,0.5,1.3,40.6,0.4,0.8,55.8,0.3,0.9,28.6,2.5,6.4,39.7,21.3,94.2,34.3,8.6,5.48,4.74,0.226,0.3,0.4,0.7,0.474,0.739,0.462
115,dangelo russell,LAL,27,0.261,0.092,0.196,46.7,0.04,0.101,39.2,0.038,0.046,83.4,0.007,0.037,0.045,0.091,0.038,0.015,0.006,0.029,0.476,9,0,0.013,1.7,2.5,66.7,0.5,1.1,46.7,0.6,1.4,45.2,0.7,1.4,52.6,0.9,2.3,37.3,1.8,4.6,39.3,17.9,80.5,34.7,5.5,4.09,3.44,0.223,0.5,0.1,0.8,0.861,0.8,0.784
116,johnny juzang,UTA,22,0.171,0.066,0.196,33.8,0.034,0.132,25.9,0.005,0.01,50.0,0.01,0.064,0.073,0.017,0.005,0.007,0.007,0.029,0.324,0,0,-0.139,0.3,0.5,71.4,0.2,0.6,33.3,0.1,0.1,50.0,0.3,0.5,57.1,0.3,1.5,22.7,0.6,2.2,27.3,4.7,14.9,9.1,0.6,2.26,1.52,0.314,0.1,0.0,0.4,1.0,0.0,0.333
117,cameron johnson,BKN,27,0.265,0.09,0.194,46.4,0.043,0.107,39.9,0.042,0.05,83.5,0.013,0.062,0.075,0.032,0.014,0.019,0.006,0.036,0.463,1,0,0.062,1.8,2.7,66.0,0.2,0.5,28.6,0.3,0.7,44.8,0.4,0.9,40.0,1.5,3.3,47.2,1.1,3.2,34.1,15.4,39.1,25.3,1.4,2.22,1.64,0.394,0.6,0.0,1.1,0.455,0.0,0.976
118,tim hardaway jr,DAL,31,0.232,0.077,0.194,39.9,0.048,0.126,38.2,0.029,0.038,76.5,0.005,0.053,0.057,0.029,0.014,0.011,0.003,0.027,0.373,0,0,0.035,0.9,1.7,52.1,0.2,0.7,32.0,0.4,0.8,47.4,0.2,0.8,30.4,1.2,3.0,40.8,1.7,4.7,37.2,14.3,45.0,24.0,1.7,2.3,1.52,0.319,0.4,0.0,0.5,0.793,0.667,1.027
119,bogdan bogdanovic,ATL,30,0.234,0.085,0.192,44.2,0.045,0.113,40.2,0.02,0.024,82.2,0.007,0.044,0.052,0.047,0.02,0.014,0.006,0.027,0.405,0,0,0.013,0.9,1.5,61.5,0.3,0.6,53.1,0.6,1.4,46.5,0.3,0.7,43.2,1.2,3.0,39.7,1.6,4.0,39.2,13.8,40.6,25.1,1.8,2.69,1.9,0.34,0.6,0.1,0.5,0.533,0.8,0.667
120,spencer dinwiddie,BKN,29,0.253,0.085,0.191,44.2,0.034,0.09,37.8,0.05,0.061,81.1,0.005,0.044,0.049,0.091,0.027,0.012,0.004,0.034,0.471,9,0,-0.005,2.1,3.6,56.9,0.6,1.5,40.9,0.4,1.1,40.7,0.3,0.6,52.1,1.2,2.3,50.3,1.2,3.8,31.3,17.5,68.2,26.0,6.3,5.57,5.02,0.256,0.2,0.4,0.3,0.267,0.966,0.375
121,pj washington,CHA,24,0.224,0.085,0.191,44.4,0.029,0.084,34.8,0.025,0.034,73.0,0.014,0.056,0.07,0.034,0.022,0.013,0.015,0.038,0.423,3,0,-0.073,2.4,3.8,62.8,1.0,2.2,44.3,0.3,0.8,41.1,0.1,0.5,25.6,0.8,2.2,35.4,1.4,4.0,35.3,15.7,57.0,30.4,1.6,1.67,0.68,0.275,1.9,1.3,2.4,0.732,0.588,1.052
122,immanuel quickley,NYK,23,0.244,0.085,0.191,44.5,0.033,0.092,36.2,0.041,0.051,81.0,0.012,0.057,0.069,0.057,0.02,0.016,0.003,0.035,0.452,4,0,0.062,1.2,2.1,60.6,0.8,1.6,52.0,0.7,1.4,50.0,0.2,0.5,38.9,0.8,2.6,32.0,1.2,3.0,39.6,14.2,50.2,24.5,3.7,4.48,3.89,0.283,0.3,0.0,0.4,0.429,0.0,0.515
123,myles turner,IND,27,0.289,0.104,0.19,54.8,0.024,0.065,37.3,0.056,0.072,78.3,0.023,0.098,0.121,0.023,0.027,0.009,0.036,0.056,0.58,18,0,-0.012,3.4,4.8,69.3,1.0,1.8,56.4,0.5,0.8,63.3,0.1,0.3,30.0,0.3,0.7,44.4,1.2,3.3,35.9,18.0,42.5,30.1,1.1,1.57,0.53,0.422,3.4,2.2,6.6,0.794,0.933,1.118
124,collin sexton,UTA,24,0.28,0.096,0.19,50.7,0.02,0.049,41.0,0.068,0.082,82.2,0.015,0.028,0.043,0.056,0.035,0.011,0.003,0.046,0.423,1,0,-0.012,2.4,4.1,58.0,0.9,1.8,47.7,0.4,0.8,52.6,0.1,0.3,46.2,0.5,1.2,43.4,0.6,1.5,39.4,14.3,46.1,19.3,3.7,4.86,4.33,0.309,0.4,0.0,1.2,0.526,0.0,0.862
125,daniel theis,IND,30,0.211,0.091,0.19,47.7,0.009,0.047,18.2,0.022,0.052,41.7,0.03,0.065,0.095,0.039,0.013,0.009,0.026,0.03,0.474,0,0,-0.082,1.9,3.0,61.9,0.6,0.9,66.7,0.3,0.6,50.0,0.0,0.3,0.0,0.1,0.4,33.3,0.1,1.0,14.3,7.0,23.7,18.0,0.6,1.51,0.39,0.295,2.1,0.1,3.4,0.8,0.0,0.917
126,alec burks,DET,31,0.269,0.083,0.19,43.6,0.041,0.099,41.4,0.063,0.078,81.4,0.008,0.057,0.065,0.047,0.024,0.016,0.003,0.04,0.451,0,0,-0.003,0.6,1.2,55.9,0.4,0.9,41.7,0.5,1.0,47.1,0.4,0.9,42.6,0.9,2.0,44.6,1.1,2.9,38.7,12.9,34.6,21.2,1.7,3.03,2.34,0.374,0.3,0.3,0.4,0.625,0.533,0.611
127,cole anthony,ORL,22,0.242,0.086,0.189,45.4,0.023,0.064,36.2,0.047,0.053,89.0,0.014,0.074,0.088,0.072,0.028,0.012,0.01,0.05,0.493,1,0,-0.012,1.2,2.3,54.2,0.8,1.7,47.5,0.7,1.3,55.3,0.5,1.2,41.8,0.4,0.9,42.6,1.0,2.7,35.2,12.9,53.2,18.8,4.2,4.69,4.08,0.242,0.4,0.0,0.9,0.714,0.0,0.778
128,lonnie walker iv,LAL,24,0.233,0.084,0.188,44.7,0.032,0.089,36.3,0.033,0.038,85.8,0.005,0.034,0.039,0.023,0.016,0.011,0.006,0.025,0.346,0,0,-0.073,1.8,3.0,60.4,0.3,0.7,34.2,0.2,0.4,36.4,0.5,0.9,49.0,0.7,1.8,37.1,1.0,2.8,35.7,12.0,25.9,15.6,1.3,3.09,2.42,0.462,0.4,0.0,0.6,0.7,0.0,0.909
129,tj warren,PHX,29,0.218,0.092,0.187,49.1,0.015,0.046,33.3,0.019,0.024,80.0,0.018,0.064,0.082,0.027,0.014,0.015,0.008,0.045,0.415,0,0,0.042,0.9,1.4,64.4,0.6,1.2,47.1,0.7,1.4,47.5,0.5,0.9,57.6,0.3,0.9,32.4,0.3,0.7,39.3,7.7,21.9,12.3,0.8,2.28,1.41,0.351,0.6,0.3,1.2,0.636,0.6,0.957
130,aj lawson,DAL,22,0.245,0.094,0.187,50.0,0.05,0.115,43.8,0.007,0.022,33.3,0.014,0.058,0.072,0.007,0.007,0.007,0.0,0.058,0.356,0,0,-0.101,0.5,0.9,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,20.0,0.5,0.5,83.3,2.6,4.8,3.2,0.1,1.39,0.62,0.54,0.0,0.0,0.2,0.0,0.0,2.0
131,kevin huerter,SAC,24,0.247,0.091,0.186,48.6,0.045,0.111,40.5,0.021,0.029,72.5,0.009,0.045,0.054,0.047,0.021,0.017,0.005,0.039,0.427,0,0,0.05,1.6,2.1,73.2,0.7,1.1,61.5,0.4,0.9,40.0,0.3,0.6,45.0,0.8,2.0,41.1,1.9,4.8,39.7,15.4,43.9,30.3,1.6,2.22,1.45,0.35,0.8,0.0,1.7,0.782,0.0,1.076
132,reggie jackson,DEN,32,0.2,0.076,0.186,40.6,0.028,0.083,33.5,0.021,0.023,90.5,0.008,0.033,0.041,0.068,0.034,0.014,0.002,0.033,0.364,1,0,-0.029,1.1,2.1,51.1,0.6,1.2,48.6,0.4,0.9,41.1,0.2,0.7,36.6,0.7,1.8,36.9,0.9,2.8,32.0,10.2,49.6,19.9,3.9,4.72,4.16,0.205,0.4,0.0,0.6,0.583,0.0,0.444
133,obi toppin,NYK,25,0.212,0.08,0.186,43.1,0.037,0.111,33.5,0.015,0.019,78.4,0.014,0.074,0.087,0.027,0.017,0.01,0.006,0.031,0.388,0,0,0.019,1.2,1.8,66.4,0.1,0.3,22.7,0.0,0.1,0.0,0.0,0.0,66.7,0.8,2.1,37.2,0.4,1.3,29.3,6.3,22.9,12.2,0.5,1.44,0.55,0.277,0.3,0.1,1.6,0.944,0.4,0.89
134,scottie barnes,TOR,21,0.218,0.085,0.186,46.0,0.012,0.04,28.8,0.035,0.045,77.8,0.034,0.061,0.095,0.068,0.028,0.015,0.011,0.031,0.484,15,1,0.035,3.3,5.3,62.6,1.2,2.8,42.8,0.4,1.1,32.9,0.3,0.9,29.7,0.5,1.6,33.3,0.5,1.6,28.6,15.7,72.6,34.9,3.9,3.22,2.57,0.217,2.4,2.1,4.9,0.424,0.595,0.845
135,rui hachimura,LAL,25,0.225,0.09,0.185,48.7,0.017,0.05,33.1,0.028,0.038,73.9,0.016,0.074,0.09,0.018,0.018,0.006,0.008,0.023,0.387,2,0,-0.011,2.0,3.0,65.4,0.2,0.8,27.1,0.7,1.3,50.0,0.8,1.4,53.6,0.5,1.2,38.0,0.4,1.4,29.4,11.1,30.3,16.8,1.2,2.28,1.25,0.366,0.7,1.4,1.8,0.615,0.53,0.963
136,james wiseman,DET,22,0.247,0.105,0.185,56.9,0.002,0.012,21.1,0.034,0.049,70.0,0.04,0.108,0.148,0.016,0.028,0.004,0.015,0.06,0.48,7,0,-0.169,3.0,4.1,72.8,0.8,1.7,46.4,0.2,0.6,28.0,0.2,0.4,41.2,0.0,0.2,11.1,0.1,0.4,20.0,9.9,32.1,14.9,0.8,1.46,0.36,0.307,1.9,1.7,5.8,0.987,0.667,1.091
137,jalen smith,IND,23,0.231,0.087,0.185,46.8,0.019,0.071,27.3,0.039,0.051,75.6,0.047,0.098,0.145,0.025,0.026,0.007,0.021,0.055,0.499,7,0,-0.029,2.3,3.2,70.1,0.3,0.7,37.0,0.0,0.2,21.4,0.1,0.2,28.6,0.4,1.4,30.0,0.4,1.7,25.7,9.3,29.7,17.8,0.7,1.41,0.46,0.311,1.3,0.5,4.1,0.739,0.5,0.959
138,saddiq bey,ATL,23,0.234,0.077,0.184,41.6,0.033,0.092,36.0,0.047,0.055,86.1,0.021,0.059,0.08,0.025,0.016,0.015,0.003,0.027,0.407,4,0,-0.042,1.9,3.4,56.7,0.3,0.9,37.3,0.2,0.5,30.0,0.1,0.4,26.7,1.1,2.8,41.1,0.8,2.6,32.1,13.8,37.5,24.3,1.5,2.41,1.35,0.368,0.5,0.9,1.1,0.811,0.787,0.885
139,marvin bagley iii,DET,24,0.243,0.098,0.183,53.5,0.008,0.031,26.2,0.039,0.051,75.2,0.047,0.083,0.13,0.018,0.021,0.009,0.015,0.04,0.476,8,0,-0.117,3.0,4.2,69.8,0.9,2.0,45.0,0.4,0.9,48.6,0.2,0.4,37.5,0.2,0.5,35.0,0.2,1.0,22.5,12.2,34.7,20.5,1.1,1.98,0.82,0.351,1.7,2.3,4.4,0.742,0.443,1.046
140,killian hayes,DET,21,0.173,0.068,0.183,37.4,0.018,0.064,27.8,0.018,0.023,80.2,0.006,0.043,0.049,0.106,0.038,0.023,0.006,0.05,0.441,6,0,-0.117,0.7,1.4,52.5,0.7,1.8,39.1,0.9,2.2,40.0,0.5,1.2,42.4,0.4,1.7,24.6,0.7,2.3,31.7,10.0,60.7,20.6,5.4,5.31,5.05,0.164,0.3,0.0,0.5,0.667,1.0,0.486
141,scotty pippen jr,LAL,22,0.212,0.061,0.182,33.3,0.015,0.045,33.3,0.076,0.136,55.6,0.03,0.03,0.061,0.03,0.03,0.03,0.015,0.045,0.436,0,0,-0.015,0.6,1.2,50.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.2,0.0,0.2,0.3,50.0,2.3,12.0,3.5,1.0,5.01,4.8,0.194,0.3,0.0,0.3,0.0,0.0,0.0
142,og anunoby,TOR,25,0.232,0.087,0.18,48.0,0.029,0.075,39.5,0.03,0.036,83.8,0.02,0.05,0.069,0.026,0.028,0.026,0.01,0.041,0.434,2,0,0.029,3.0,4.8,62.3,0.5,1.3,37.3,0.3,0.7,38.6,0.4,0.8,47.1,1.3,2.9,43.3,0.9,2.6,35.1,16.9,47.0,30.6,1.8,2.29,1.45,0.36,0.8,1.9,3.0,0.731,0.308,0.818
143,doug mcdermott,SAS,31,0.228,0.083,0.18,46.1,0.043,0.103,41.8,0.019,0.024,75.7,0.008,0.04,0.048,0.032,0.02,0.005,0.002,0.041,0.332,0,0,-0.079,1.2,1.9,61.7,0.4,0.9,46.3,0.2,0.4,42.3,0.0,0.2,6.7,0.7,1.6,41.7,1.3,3.1,42.3,10.0,28.2,20.4,0.8,1.66,0.79,0.354,0.3,0.0,0.9,1.063,2.0,1.036
144,simone fontecchio,UTA,27,0.189,0.065,0.18,36.1,0.036,0.111,32.7,0.023,0.029,78.6,0.018,0.029,0.047,0.025,0.022,0.009,0.005,0.036,0.303,0,0,-0.129,0.4,0.9,46.3,0.2,0.5,29.2,0.2,0.4,50.0,0.1,0.3,50.0,0.6,1.7,37.0,0.6,2.1,28.1,5.8,17.0,11.1,0.4,1.57,0.81,0.343,0.1,0.0,0.7,0.571,2.0,0.469
145,deandre hunter,ATL,25,0.225,0.083,0.18,45.9,0.022,0.063,35.1,0.037,0.046,82.3,0.01,0.052,0.062,0.021,0.018,0.008,0.004,0.044,0.347,1,0,-0.002,1.7,2.8,58.7,0.5,1.3,39.3,1.1,2.1,50.4,0.8,1.5,53.7,1.0,2.7,36.4,0.7,2.0,34.1,15.4,38.3,24.0,1.4,2.23,1.39,0.402,0.9,0.6,1.2,0.895,0.917,0.91
146,markelle fultz,ORL,24,0.221,0.092,0.18,51.2,0.007,0.023,30.5,0.031,0.039,78.2,0.019,0.045,0.064,0.09,0.038,0.024,0.007,0.035,0.488,3,0,-0.032,3.1,4.9,62.5,0.8,1.7,49.5,0.6,1.5,43.0,0.7,1.6,45.2,0.4,0.9,40.8,0.2,0.7,25.6,14.1,68.2,22.6,5.6,4.96,4.65,0.207,0.6,0.6,2.0,0.5,0.438,0.813
147,kris dunn,UTA,29,0.229,0.092,0.179,51.5,0.014,0.032,43.3,0.03,0.042,71.8,0.009,0.068,0.076,0.097,0.027,0.02,0.01,0.048,0.528,1,0,-0.078,1.4,2.7,53.1,2.2,3.8,57.4,0.4,1.0,44.4,0.0,0.1,0.0,0.1,0.7,16.7,0.6,1.1,57.9,11.8,60.4,17.4,4.7,4.71,4.08,0.195,0.2,0.1,0.4,0.5,0.0,1.429
148,luguentz dort,OKC,23,0.208,0.07,0.179,39.0,0.028,0.084,33.8,0.04,0.052,77.7,0.025,0.045,0.07,0.032,0.019,0.016,0.005,0.05,0.383,5,0,0.011,2.2,4.7,47.8,0.2,0.9,24.6,0.1,0.3,31.8,0.1,0.3,47.6,0.8,2.1,39.2,1.1,3.5,30.7,13.8,37.2,22.0,1.9,3.11,2.63,0.37,0.5,0.1,2.4,0.485,0.0,0.631
149,kira lewis jr,NOP,21,0.227,0.081,0.178,45.5,0.03,0.069,44.1,0.034,0.041,85.0,0.01,0.057,0.067,0.047,0.02,0.02,0.004,0.049,0.43,0,0,0.12,0.6,1.3,50.0,0.1,0.4,33.3,0.1,0.3,28.6,0.3,0.4,71.4,0.3,0.4,60.0,0.4,1.0,37.5,4.7,21.1,9.7,1.3,3.56,3.03,0.221,0.1,0.0,0.2,1.0,0.0,1.25
150,tyty washington jr,HOU,21,0.157,0.063,0.178,35.5,0.02,0.09,21.8,0.011,0.018,62.5,0.002,0.046,0.048,0.054,0.016,0.015,0.002,0.031,0.332,0,0,-0.056,0.2,0.5,50.0,0.5,1.0,48.3,0.4,0.8,56.5,0.1,0.4,30.0,0.4,1.0,35.5,0.2,1.6,14.9,4.6,27.9,12.8,1.8,3.93,3.57,0.164,0.1,0.0,0.1,0.667,0.0,0.5
151,jeremy sochan,SAS,19,0.198,0.081,0.178,45.3,0.011,0.043,24.6,0.026,0.037,69.8,0.031,0.064,0.095,0.046,0.031,0.014,0.007,0.045,0.413,2,0,-0.076,2.7,4.6,57.3,0.6,1.5,43.4,0.4,0.7,51.2,0.1,0.5,29.6,0.3,1.2,29.2,0.3,1.3,23.9,11.1,44.3,21.9,2.2,2.92,2.24,0.25,1.2,1.1,3.4,0.716,0.29,1.021
152,seth curry,BKN,32,0.22,0.082,0.178,46.3,0.037,0.091,40.1,0.019,0.021,94.1,0.005,0.034,0.039,0.039,0.02,0.014,0.003,0.038,0.357,0,0,-0.025,0.4,0.7,57.1,0.1,0.2,46.2,0.4,0.7,65.8,0.8,1.5,48.9,1.0,2.4,41.6,0.8,2.1,40.2,9.5,33.0,18.5,2.0,3.67,3.02,0.287,0.1,0.0,0.1,0.25,0.0,0.5
153,aaron gordon,DEN,27,0.263,0.101,0.177,56.9,0.015,0.041,35.3,0.046,0.075,61.3,0.038,0.066,0.104,0.047,0.023,0.013,0.012,0.03,0.507,10,0,0.129,4.8,6.7,71.5,0.3,0.8,35.3,0.2,0.5,32.4,0.1,0.5,29.0,0.3,1.1,30.4,0.6,1.4,41.5,16.4,42.1,23.6,2.1,2.94,2.1,0.39,1.8,2.2,6.7,0.504,0.721,1.191
154,aj griffin,ATL,19,0.212,0.083,0.177,46.6,0.033,0.087,38.6,0.013,0.015,90.5,0.012,0.039,0.051,0.024,0.014,0.014,0.004,0.029,0.351,0,0,0.021,0.7,1.1,64.0,0.5,0.9,52.5,0.7,1.2,54.2,0.2,0.5,45.7,0.6,1.6,40.0,0.7,2.0,36.2,8.8,21.0,14.1,0.7,2.08,1.5,0.42,0.4,0.0,0.7,0.767,2.0,0.956
155,malaki branham,SAS,19,0.195,0.078,0.177,44.2,0.023,0.074,30.8,0.016,0.019,80.3,0.009,0.045,0.053,0.039,0.024,0.01,0.002,0.035,0.332,0,0,-0.103,1.3,2.1,61.5,0.5,1.1,50.0,0.6,1.2,51.4,0.3,0.8,42.9,0.5,1.4,37.1,0.7,2.4,27.8,9.8,35.5,15.4,2.1,3.61,3.19,0.275,0.3,0.0,0.5,1.167,0.0,0.963
156,alperen sengun,HOU,20,0.245,0.098,0.176,55.7,0.004,0.012,30.8,0.044,0.063,71.0,0.053,0.093,0.146,0.063,0.042,0.014,0.015,0.057,0.562,26,2,-0.069,4.2,6.5,64.2,1.2,2.7,44.6,0.3,0.5,50.0,0.1,0.2,35.7,0.0,0.2,27.3,0.2,0.6,32.5,14.7,55.4,38.3,2.2,2.44,1.25,0.266,5.0,4.4,6.9,0.542,0.518,0.764
157,goran dragic,MIL,36,0.192,0.075,0.176,42.3,0.028,0.076,36.4,0.016,0.024,65.9,0.007,0.033,0.041,0.082,0.033,0.007,0.002,0.037,0.361,0,0,0.018,0.7,1.3,55.6,0.2,0.5,38.5,0.3,0.9,34.7,0.3,0.5,56.0,0.4,1.0,33.9,0.6,1.4,39.0,6.3,33.3,13.0,2.3,4.2,3.66,0.188,0.1,0.1,0.2,1.0,0.75,0.8
158,payton pritchard,BOS,25,0.183,0.069,0.176,39.0,0.036,0.109,33.1,0.009,0.013,73.3,0.018,0.04,0.059,0.04,0.027,0.012,0.001,0.029,0.325,0,0,-0.01,0.6,1.2,53.8,0.1,0.2,44.4,0.1,0.2,28.6,0.1,0.2,57.1,0.3,0.9,26.8,0.7,1.9,36.8,4.7,21.6,10.0,1.4,3.84,3.45,0.219,0.2,0.0,0.7,1.0,0.0,0.719
159,tari eason,HOU,21,0.203,0.079,0.176,44.7,0.016,0.046,34.3,0.029,0.039,75.0,0.053,0.08,0.132,0.023,0.026,0.025,0.012,0.051,0.481,7,0,-0.049,2.5,4.7,53.7,0.2,0.8,30.6,0.1,0.2,23.5,0.0,0.1,12.5,0.3,0.9,31.0,0.4,1.2,36.1,9.2,32.3,15.8,1.2,2.21,1.54,0.284,0.8,0.2,3.2,0.565,0.286,0.828
160,jose alvarado,NOP,24,0.198,0.072,0.176,41.1,0.03,0.089,33.6,0.023,0.029,81.3,0.01,0.041,0.051,0.067,0.029,0.024,0.004,0.045,0.413,0,0,0.037,1.4,2.3,59.2,0.4,1.1,35.3,0.1,0.4,36.0,0.0,0.1,14.3,0.6,1.5,43.3,0.7,2.5,28.9,9.0,46.0,18.1,3.3,4.32,4.17,0.196,0.2,0.0,0.6,1.0,0.0,0.444
161,wendell carter jr,ORL,23,0.249,0.092,0.176,52.7,0.022,0.064,35.0,0.042,0.056,74.1,0.035,0.106,0.141,0.037,0.031,0.008,0.01,0.045,0.496,20,0,-0.011,3.3,4.3,75.3,0.3,0.7,43.9,0.4,0.9,46.0,0.3,0.9,36.7,0.5,1.3,41.4,0.9,2.7,31.3,15.5,53.1,33.4,1.5,1.73,0.51,0.292,3.8,1.1,6.0,0.41,0.645,1.046
162,hamidou diallo,DET,24,0.244,0.101,0.175,57.3,0.002,0.01,23.8,0.041,0.069,58.8,0.027,0.064,0.091,0.026,0.033,0.025,0.007,0.058,0.455,0,0,-0.007,2.8,3.9,70.6,0.4,1.1,35.6,0.3,0.7,45.0,0.2,0.5,40.0,0.1,0.3,41.2,0.0,0.1,14.3,9.2,27.8,13.7,1.1,2.34,1.67,0.33,1.1,0.1,2.0,1.15,0.0,1.204
163,landry shamet,PHX,26,0.206,0.067,0.175,38.3,0.045,0.118,37.8,0.027,0.031,87.8,0.006,0.031,0.036,0.049,0.022,0.015,0.003,0.036,0.356,0,0,0.013,0.7,1.3,51.1,0.0,0.2,12.5,0.2,0.4,37.5,0.1,0.4,26.7,0.9,2.1,42.9,1.0,3.0,33.0,9.0,36.8,18.9,1.9,3.14,2.75,0.246,0.3,0.0,0.3,0.667,0.0,1.0
164,jusuf nurkic,POR,28,0.24,0.091,0.175,51.9,0.015,0.041,36.1,0.044,0.067,66.1,0.039,0.124,0.163,0.052,0.041,0.015,0.015,0.064,0.563,18,0,0.003,3.5,5.8,60.9,0.5,1.3,40.0,0.1,0.2,55.6,0.1,0.1,57.1,0.2,0.6,33.3,0.6,1.7,36.7,13.3,53.8,31.6,1.5,1.65,0.59,0.248,3.4,4.5,5.5,0.571,0.591,0.915
165,zach collins,SAS,25,0.232,0.09,0.175,51.5,0.018,0.047,37.5,0.035,0.046,76.3,0.037,0.092,0.128,0.058,0.042,0.012,0.015,0.064,0.513,8,0,-0.079,2.4,3.6,65.5,0.7,1.5,48.9,0.2,0.6,39.5,0.2,0.5,41.9,0.1,0.6,25.0,0.7,1.8,41.8,11.5,38.1,26.3,1.2,1.82,0.64,0.302,4.1,3.2,5.1,0.508,0.72,0.857
