, ,PLAYER,TEAM,AGE,GP,W,L,MIN,PTS_PER_POSS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-
125,126,Bogdan Bogdanovic,ATL,30,52,26,26,0.5,0.234,0.085,0.192,44.2,0.045,0.113,40.2,0.02,0.024,82.2,0.007,0.044,0.052,0.047,0.02,0.014,0.006,0.027,0.405,0,0,0.013
126,127,Spencer Dinwiddie,BKN,29,76,39,37,0.5,0.253,0.085,0.191,44.2,0.034,0.09,37.8,0.05,0.061,81.1,0.005,0.044,0.049,0.091,0.027,0.012,0.004,0.034,0.471,9,0,-0.005
127,128,P.J. Washington,CHA,24,73,24,49,0.5,0.224,0.085,0.191,44.4,0.029,0.084,34.8,0.025,0.034,73,0.014,0.056,0.07,0.034,0.022,0.013,0.015,0.038,0.423,3,0,-0.073
128,129,Trevelin Queen,IND,26,7,2,5,0.5,0.138,0.046,0.191,24.1,0.013,0.099,13.3,0.033,0.033,100,0.053,0.059,0.112,0.039,0.046,0.013,0.033,0.026,0.424,0,0,0.092
129,130,Immanuel Quickley,NYK,23,78,46,32,0.5,0.244,0.085,0.191,44.5,0.033,0.092,36.2,0.041,0.051,81,0.012,0.057,0.069,0.057,0.02,0.016,0.003,0.035,0.452,4,0,0.062
130,131,Myles Turner,IND,27,62,29,33,0.5,0.289,0.104,0.19,54.8,0.024,0.065,37.3,0.056,0.072,78.3,0.023,0.098,0.121,0.023,0.027,0.009,0.036,0.056,0.58,18,0,-0.012
131,132,Collin Sexton,UTA,24,47,24,23,0.5,0.28,0.096,0.19,50.7,0.02,0.049,41,0.068,0.082,82.2,0.015,0.028,0.043,0.056,0.035,0.011,0.003,0.046,0.423,1,0,-0.012
132,133,Daniel Theis,IND,30,7,1,6,0.5,0.211,0.091,0.19,47.7,0.009,0.047,18.2,0.022,0.052,41.7,0.03,0.065,0.095,0.039,0.013,0.009,0.026,0.03,0.474,0,0,-0.082
133,134,Alec Burks,DET,31,51,12,39,0.5,0.269,0.083,0.19,43.6,0.041,0.099,41.4,0.063,0.078,81.4,0.008,0.057,0.065,0.047,0.024,0.016,0.003,0.04,0.451,0,0,-0.003
134,135,Cole Anthony,ORL,22,58,28,30,0.5,0.242,0.086,0.189,45.4,0.023,0.064,36.2,0.047,0.053,89,0.014,0.074,0.088,0.072,0.028,0.012,0.01,0.05,0.493,1,0,-0.012
135,136,Lonnie Walker IV,LAL,24,55,26,29,0.5,0.233,0.084,0.188,44.7,0.032,0.089,36.3,0.033,0.038,85.8,0.005,0.034,0.039,0.023,0.016,0.011,0.006,0.025,0.346,0,0,-0.073
136,137,T.J. Warren,PHX,29,41,25,16,0.5,0.218,0.092,0.187,49.1,0.015,0.046,33.3,0.019,0.024,80,0.018,0.064,0.082,0.027,0.014,0.015,0.008,0.045,0.415,0,0,0.042
137,138,A.J. Lawson,DAL,22,13,5,8,0.5,0.245,0.094,0.187,50,0.05,0.115,43.8,0.007,0.022,33.3,0.014,0.058,0.072,0.007,0.007,0.007,0,0.058,0.356,0,0,-0.101
138,139,Kevin Huerter,SAC,24,72,43,29,0.5,0.247,0.091,0.186,48.6,0.045,0.111,40.5,0.021,0.029,72.5,0.009,0.045,0.054,0.047,0.021,0.017,0.005,0.039,0.427,0,0,0.05
139,140,Reggie Jackson,DEN,32,63,34,29,0.5,0.2,0.076,0.186,40.6,0.028,0.083,33.5,0.021,0.023,90.5,0.008,0.033,0.041,0.068,0.034,0.014,0.002,0.033,0.364,1,0,-0.029
140,141,Obi Toppin,NYK,25,64,36,28,0.5,0.212,0.08,0.186,43.1,0.037,0.111,33.5,0.015,0.019,78.4,0.014,0.074,0.087,0.027,0.017,0.01,0.006,0.031,0.388,0,0,0.019
141,142,Scottie Barnes,TOR,21,73,36,37,0.5,0.218,0.085,0.186,46,0.012,0.04,28.8,0.035,0.045,77.8,0.034,0.061,0.095,0.068,0.028,0.015,0.011,0.031,0.484,15,1,0.035
142,143,Rui Hachimura,LAL,25,59,35,24,0.5,0.225,0.09,0.185,48.7,0.017,0.05,33.1,0.028,0.038,73.9,0.016,0.074,0.09,0.018,0.018,0.006,0.008,0.023,0.387,2,0,-0.011
143,144,James Wiseman,DET,22,41,10,31,0.5,0.247,0.105,0.185,56.9,0.002,0.012,21.1,0.034,0.049,70,0.04,0.108,0.148,0.016,0.028,0.004,0.015,0.06,0.48,7,0,-0.169
144,145,Jalen Smith,IND,23,66,31,35,0.5,0.231,0.087,0.185,46.8,0.019,0.071,27.3,0.039,0.051,75.6,0.047,0.098,0.145,0.025,0.026,0.007,0.021,0.055,0.499,7,0,-0.029
145,146,Saddiq Bey,ATL,23,73,22,51,0.5,0.234,0.077,0.184,41.6,0.033,0.092,36,0.047,0.055,86.1,0.021,0.059,0.08,0.025,0.016,0.015,0.003,0.027,0.407,4,0,-0.042
146,147,Marvin Bagley III,DET,24,40,6,34,0.5,0.243,0.098,0.183,53.5,0.008,0.031,26.2,0.039,0.051,75.2,0.047,0.083,0.13,0.018,0.021,0.009,0.015,0.04,0.476,8,0,-0.117
147,148,Killian Hayes,DET,21,72,15,57,0.5,0.173,0.068,0.183,37.4,0.018,0.064,27.8,0.018,0.023,80.2,0.006,0.043,0.049,0.106,0.038,0.023,0.006,0.05,0.441,6,0,-0.117
148,149,Scotty Pippen Jr.,LAL,22,6,1,5,0.5,0.212,0.061,0.182,33.3,0.015,0.045,33.3,0.076,0.136,55.6,0.03,0.03,0.061,0.03,0.03,0.03,0.015,0.045,0.436,0,0,-0.015
149,150,O.G. Anunoby,TOR,25,64,32,32,0.5,0.232,0.087,0.18,48,0.029,0.075,39.5,0.03,0.036,83.8,0.02,0.05,0.069,0.026,0.028,0.026,0.01,0.041,0.434,2,0,0.029
150,151,Doug McDermott,SAS,31,63,19,44,0.5,0.228,0.083,0.18,46.1,0.043,0.103,41.8,0.019,0.024,75.7,0.008,0.04,0.048,0.032,0.02,0.005,0.002,0.041,0.332,0,0,-0.079
151,152,Simone Fontecchio,UTA,27,48,24,24,0.5,0.189,0.065,0.18,36.1,0.036,0.111,32.7,0.023,0.029,78.6,0.018,0.029,0.047,0.025,0.022,0.009,0.005,0.036,0.303,0,0,-0.129
152,153,De'Andre Hunter,ATL,25,65,35,30,0.5,0.225,0.083,0.18,45.9,0.022,0.063,35.1,0.037,0.046,82.3,0.01,0.052,0.062,0.021,0.018,0.008,0.004,0.044,0.347,1,0,-0.002
153,154,Markelle Fultz,ORL,24,57,29,28,0.5,0.221,0.092,0.18,51.2,0.007,0.023,30.5,0.031,0.039,78.2,0.019,0.045,0.064,0.09,0.038,0.024,0.007,0.035,0.488,3,0,-0.032
154,155,Kris Dunn,UTA,29,18,7,11,0.5,0.229,0.092,0.179,51.5,0.014,0.032,43.3,0.03,0.042,71.8,0.009,0.068,0.076,0.097,0.027,0.02,0.01,0.048,0.528,1,0,-0.078
155,156,Luguentz Dort,OKC,23,72,35,37,0.5,0.208,0.07,0.179,39,0.028,0.084,33.8,0.04,0.052,77.7,0.025,0.045,0.07,0.032,0.019,0.016,0.005,0.05,0.383,5,0,0.011
156,157,Kira Lewis Jr.,NOP,21,24,11,13,0.5,0.227,0.081,0.178,45.5,0.03,0.069,44.1,0.034,0.041,85,0.01,0.057,0.067,0.047,0.02,0.02,0.004,0.049,0.43,0,0,0.12
157,158,TyTy Washington Jr.,HOU,21,30,5,25,0.5,0.157,0.063,0.178,35.5,0.02,0.09,21.8,0.011,0.018,62.5,0.002,0.046,0.048,0.054,0.016,0.015,0.002,0.031,0.332,0,0,-0.056
158,159,Jeremy Sochan,SAS,19,56,15,41,0.5,0.198,0.081,0.178,45.3,0.011,0.043,24.6,0.026,0.037,69.8,0.031,0.064,0.095,0.046,0.031,0.014,0.007,0.045,0.413,2,0,-0.076
159,160,Seth Curry,BKN,32,58,35,23,0.5,0.22,0.082,0.178,46.3,0.037,0.091,40.1,0.019,0.021,94.1,0.005,0.034,0.039,0.039,0.02,0.014,0.003,0.038,0.357,0,0,-0.025
160,161,Aaron Gordon,DEN,27,65,44,21,0.5,0.263,0.101,0.177,56.9,0.015,0.041,35.3,0.046,0.075,61.3,0.038,0.066,0.104,0.047,0.023,0.013,0.012,0.03,0.507,10,0,0.129
161,162,AJ Griffin,ATL,19,69,32,37,0.5,0.212,0.083,0.177,46.6,0.033,0.087,38.6,0.013,0.015,90.5,0.012,0.039,0.051,0.024,0.014,0.014,0.004,0.029,0.351,0,0,0.021
162,163,Malaki Branham,SAS,19,62,13,49,0.5,0.195,0.078,0.177,44.2,0.023,0.074,30.8,0.016,0.019,80.3,0.009,0.045,0.053,0.039,0.024,0.01,0.002,0.035,0.332,0,0,-0.103
163,164,Alperen Sengun,HOU,20,72,15,57,0.5,0.245,0.098,0.176,55.7,0.004,0.012,30.8,0.044,0.063,71,0.053,0.093,0.146,0.063,0.042,0.014,0.015,0.057,0.562,26,2,-0.069
164,165,Goran Dragic,MIL,36,54,25,29,0.5,0.192,0.075,0.176,42.3,0.028,0.076,36.4,0.016,0.024,65.9,0.007,0.033,0.041,0.082,0.033,0.007,0.002,0.037,0.361,0,0,0.018
165,166,Payton Pritchard,BOS,25,46,30,16,0.5,0.183,0.069,0.176,39,0.036,0.109,33.1,0.009,0.013,73.3,0.018,0.04,0.059,0.04,0.027,0.012,0.001,0.029,0.325,0,0,-0.01
166,167,Tari Eason,HOU,21,79,19,60,0.5,0.203,0.079,0.176,44.7,0.016,0.046,34.3,0.029,0.039,75,0.053,0.08,0.132,0.023,0.026,0.025,0.012,0.051,0.481,7,0,-0.049
167,168,Jose Alvarado,NOP,24,61,30,31,0.5,0.198,0.072,0.176,41.1,0.03,0.089,33.6,0.023,0.029,81.3,0.01,0.041,0.051,0.067,0.029,0.024,0.004,0.045,0.413,0,0,0.037
168,169,Wendell Carter Jr.,ORL,23,55,26,29,0.5,0.249,0.092,0.176,52.7,0.022,0.064,35,0.042,0.056,74.1,0.035,0.106,0.141,0.037,0.031,0.008,0.01,0.045,0.496,20,0,-0.011
169,170,Hamidou Diallo,DET,24,56,12,44,0.5,0.244,0.101,0.175,57.3,0.002,0.01,23.8,0.041,0.069,58.8,0.027,0.064,0.091,0.026,0.033,0.025,0.007,0.058,0.455,0,0,-0.007
170,171,Landry Shamet,PHX,26,36,17,19,0.5,0.206,0.067,0.175,38.3,0.045,0.118,37.8,0.027,0.031,87.8,0.006,0.031,0.036,0.049,0.022,0.015,0.003,0.036,0.356,0,0,0.013
171,172,Jusuf Nurkic,POR,28,52,24,28,0.5,0.24,0.091,0.175,51.9,0.015,0.041,36.1,0.044,0.067,66.1,0.039,0.124,0.163,0.052,0.041,0.015,0.015,0.064,0.563,18,0,0.003
172,173,Zach Collins,SAS,25,62,19,43,0.5,0.232,0.09,0.175,51.5,0.018,0.047,37.5,0.035,0.046,76.3,0.037,0.092,0.128,0.058,0.042,0.012,0.015,0.064,0.513,8,0,-0.079
173,174,Brook Lopez,MIL,35,75,54,21,0.5,0.239,0.092,0.175,52.6,0.027,0.072,37.1,0.029,0.037,78.3,0.031,0.073,0.104,0.02,0.021,0.007,0.038,0.04,0.509,11,0,0.07
174,175,Peyton Watson,DEN,20,18,11,7,0.5,0.211,0.09,0.175,51.7,0.03,0.048,62.5,0,0.012,0,0.018,0.084,0.102,0.018,0.024,0,0.018,0.03,0.391,0,0,-0.175
175,176,Tre Jones,SAS,23,64,18,46,0.5,0.201,0.079,0.174,45.1,0.01,0.037,27.2,0.034,0.039,86,0.013,0.044,0.056,0.102,0.026,0.022,0.002,0.024,0.468,4,1,-0.079
176,177,Jabari Smith Jr.,HOU,19,76,18,58,0.5,0.196,0.07,0.174,40.4,0.024,0.078,30.6,0.031,0.039,78.2,0.024,0.088,0.112,0.02,0.02,0.008,0.014,0.045,0.407,15,0,-0.118
177,178,Malcolm Hill,CHI,27,5,4,1,0.4,0.217,0.087,0.174,50,0.043,0.13,33.3,0,0,0,0,0.13,0.13,0,0,0,0,0.043,0.374,0,0,0.391
178,179,Chris Duarte,IND,25,46,19,27,0.5,0.189,0.064,0.173,36.9,0.029,0.091,31.6,0.032,0.038,84.7,0.01,0.05,0.06,0.033,0.021,0.013,0.005,0.034,0.342,0,0,-0.059
179,180,Tyus Jones,MEM,26,77,49,28,0.5,0.201,0.076,0.173,44,0.03,0.079,37.8,0.019,0.024,79.8,0.007,0.041,0.048,0.099,0.018,0.019,0.001,0.008,0.451,8,1,0.03
180,181,Evan Fournier,NYK,30,24,14,10,0.5,0.179,0.06,0.173,34.9,0.038,0.117,32,0.021,0.024,85.7,0.005,0.049,0.054,0.04,0.024,0.016,0.003,0.05,0.337,0,0,-0.01
181,182,Tobias Harris,PHI,30,71,46,25,0.5,0.224,0.087,0.173,50.3,0.026,0.066,39.5,0.023,0.027,87.4,0.013,0.073,0.086,0.038,0.018,0.014,0.008,0.03,0.431,7,0,0.064
182,183,Eugene Omoruyi,DET,26,38,10,28,0.5,0.209,0.078,0.173,44.9,0.018,0.066,26.8,0.036,0.054,66.2,0.033,0.051,0.084,0.02,0.025,0.02,0.002,0.071,0.383,0,0,-0.016
183,184,Edmond Sumner,BKN,27,51,31,20,0.5,0.241,0.079,0.173,45.7,0.02,0.056,36,0.063,0.068,92.3,0.008,0.042,0.05,0.044,0.031,0.02,0.007,0.054,0.416,0,0,0.016
184,185,Josh Richardson,NOP,29,61,22,39,0.5,0.205,0.075,0.173,43.4,0.033,0.091,36.5,0.022,0.026,85.2,0.013,0.042,0.054,0.055,0.026,0.021,0.006,0.035,0.409,1,0,-0.038
185,186,Jarrell Brantley,UTA,26,4,0,4,0.5,0.272,0.099,0.173,57.1,0.049,0.111,44.4,0.025,0.025,100,0.012,0.062,0.074,0.037,0.025,0,0.025,0.037,0.465,0,0,0.185
186,187,Marcus Morris Sr.,LAC,33,65,35,30,0.5,0.195,0.074,0.173,42.6,0.03,0.082,36.5,0.018,0.023,78.2,0.008,0.061,0.069,0.031,0.015,0.011,0.006,0.037,0.36,2,0,-0.004
187,188,Patty Mills,BKN,34,39,18,21,0.5,0.204,0.072,0.173,41.9,0.041,0.109,37.6,0.018,0.02,91.3,0.007,0.03,0.037,0.047,0.023,0.012,0.003,0.025,0.34,0,0,-0.034
188,189,Chris Paul,PHX,37,57,31,26,0.5,0.208,0.075,0.173,43.2,0.023,0.066,35.8,0.036,0.043,83.1,0.007,0.059,0.066,0.14,0.03,0.024,0.006,0.034,0.557,17,0,0.018
189,190,James Bouknight,CHA,22,31,8,23,0.5,0.176,0.063,0.172,36.4,0.031,0.096,32.2,0.019,0.028,69.2,0.007,0.063,0.07,0.04,0.028,0.015,0.005,0.039,0.353,0,0,-0.079
190,191,Evan Mobley,CLE,21,76,46,30,0.5,0.234,0.096,0.172,55.9,0.004,0.019,21.2,0.038,0.057,67.3,0.034,0.095,0.129,0.041,0.027,0.011,0.022,0.04,0.521,23,0,0.06
191,192,Tyrese Martin,ATL,24,13,8,5,0.5,0.161,0.065,0.172,37.5,0.011,0.054,20,0.022,0.022,100,0.022,0.043,0.065,0,0.011,0.011,0,0.022,0.26,0,0,0.043
192,193,Jordan Nwora,IND,24,58,35,23,0.5,0.209,0.075,0.172,43.7,0.033,0.081,41.2,0.025,0.032,78.7,0.02,0.07,0.09,0.035,0.026,0.01,0.006,0.028,0.391,0,0,-0.091
193,194,Gordon Hayward,CHA,33,50,20,30,0.5,0.216,0.082,0.172,47.5,0.015,0.047,32.5,0.038,0.047,81.1,0.01,0.054,0.063,0.061,0.029,0.012,0.004,0.021,0.403,2,0,-0.032
194,195,Victor Oladipo,MIA,30,40,22,18,0.5,0.186,0.066,0.171,38.7,0.027,0.087,30.9,0.027,0.035,77.3,0.007,0.051,0.058,0.062,0.036,0.025,0.005,0.043,0.402,0,0,-0.029
195,196,Max Strus,MIA,27,76,39,37,0.5,0.2,0.07,0.171,41.1,0.042,0.121,34.9,0.017,0.02,88.5,0.011,0.045,0.056,0.036,0.015,0.009,0.002,0.036,0.342,2,0,-0.029
196,197,Will Barton,TOR,32,52,25,27,0.5,0.175,0.063,0.17,37,0.029,0.084,35,0.019,0.024,78.7,0.007,0.06,0.066,0.055,0.025,0.012,0.006,0.026,0.367,0,0,-0.092
197,198,Willy Hernangomez,NOP,28,38,23,15,0.5,0.263,0.089,0.17,52.7,0.003,0.011,27.3,0.081,0.105,77.9,0.058,0.123,0.181,0.033,0.039,0.017,0.013,0.064,0.581,2,0,0.019
198,199,Chris Boucher,TOR,30,72,37,35,0.5,0.225,0.083,0.169,49.1,0.019,0.061,32,0.04,0.053,75.5,0.051,0.085,0.136,0.009,0.013,0.015,0.021,0.046,0.498,9,0,-0.007
199,200,Malachi Flynn,TOR,24,50,27,23,0.5,0.167,0.059,0.169,34.7,0.034,0.097,34.9,0.016,0.022,72.4,0.011,0.042,0.053,0.049,0.017,0.014,0.003,0.045,0.338,0,0,-0.045
200,201,Cedi Osman,CLE,27,73,45,28,0.5,0.211,0.076,0.169,44.9,0.037,0.1,36.6,0.023,0.033,69,0.008,0.047,0.055,0.036,0.016,0.011,0.004,0.039,0.359,1,0,0.07
201,202,Precious Achiuwa,TOR,23,51,28,23,0.5,0.209,0.08,0.169,47.5,0.011,0.044,24.5,0.038,0.055,68.6,0.043,0.094,0.137,0.022,0.026,0.013,0.013,0.044,0.458,9,0,-0.019
202,203,Johnny Davis,WAS,21,24,9,15,0.5,0.165,0.067,0.168,39.6,0.016,0.067,23.7,0.016,0.03,52.9,0.012,0.06,0.072,0.021,0.014,0.005,0.007,0.061,0.306,0,0,-0.058
203,204,Dewayne Dedmon,PHI,33,36,21,15,0.5,0.219,0.084,0.168,49.6,0.013,0.046,28.9,0.039,0.056,69.6,0.039,0.109,0.148,0.023,0.027,0.01,0.023,0.082,0.502,0,0,-0.16
204,205,AJ Green,MIL,23,33,26,7,0.5,0.214,0.074,0.168,44,0.061,0.141,43.3,0.006,0.006,100,0.007,0.049,0.057,0.029,0.013,0.009,0,0.043,0.339,0,0,-0.042
205,206,Shaedon Sharpe,POR,19,77,32,45,0.5,0.206,0.08,0.168,47.5,0.027,0.073,36.8,0.019,0.027,71.6,0.016,0.045,0.062,0.023,0.021,0.01,0.007,0.038,0.343,0,0,-0.067
206,207,David Duke Jr.,BKN,23,20,8,12,0.5,0.176,0.077,0.168,46,0.003,0.021,12.5,0.019,0.029,63.6,0.021,0.035,0.056,0.043,0.04,0.019,0.003,0.072,0.33,0,0,-0.029
207,208,Isaiah Joe,OKC,23,71,35,36,0.5,0.227,0.074,0.167,44.4,0.053,0.13,40.8,0.026,0.032,81.7,0.009,0.048,0.057,0.028,0.012,0.015,0.003,0.034,0.381,0,0,0.075
208,209,Moritz Wagner,ORL,25,55,27,28,0.5,0.257,0.085,0.167,50.8,0.021,0.068,31.2,0.066,0.078,84.4,0.03,0.08,0.109,0.036,0.028,0.016,0.005,0.057,0.477,3,0,-0.008
209,210,Dylan Windler,CLE,26,3,3,0,0.6,0.278,0.111,0.167,66.7,0.056,0.111,50,0,0,0,0,0,0,0.056,0.056,0.056,0,0,0.472,0,0,-0.056
210,210,Jay Scrubb,ORL,22,1,1,0,0.4,0.333,0.167,0.167,100,0,0,0,0,0,0,0,0.167,0.167,0,0,0,0,0.167,0.533,0,0,0.333
211,210,Jordan Schakel,WAS,24,2,0,2,0.5,0.25,0.083,0.167,50,0.083,0.083,100,0,0,0,0,0,0,0.083,0,0.083,0,0.083,0.625,0,0,0.5
212,213,Jonathan Kuminga,GSW,20,63,35,28,0.5,0.22,0.087,0.167,52.1,0.017,0.049,35.5,0.029,0.045,64.3,0.023,0.053,0.076,0.041,0.032,0.013,0.01,0.054,0.41,1,0,-0.023
213,214,Julian Champagnie,SAS,21,13,5,8,0.5,0.207,0.077,0.166,46.6,0.041,0.107,38.3,0.011,0.014,83.3,0.014,0.066,0.08,0.009,0.016,0.009,0.009,0.043,0.355,0,0,-0.194
214,215,Terrence Ross,PHX,32,59,25,34,0.5,0.189,0.072,0.166,43.3,0.035,0.094,37.7,0.01,0.012,78.1,0.008,0.045,0.053,0.032,0.016,0.013,0.003,0.035,0.332,0,0,-0.023
215,216,Duncan Robinson,MIA,28,39,17,22,0.5,0.186,0.061,0.166,36.8,0.045,0.135,33.5,0.019,0.02,92.3,0.006,0.042,0.049,0.031,0.019,0.009,0,0.052,0.301,0,0,-0.041
216,217,Jalen Suggs,ORL,21,49,20,29,0.5,0.194,0.069,0.166,41.7,0.024,0.074,31.9,0.033,0.046,71.1,0.02,0.038,0.058,0.06,0.036,0.027,0.01,0.047,0.429,0,0,-0.014
217,218,JaVale McGee,DAL,35,40,19,21,0.5,0.242,0.104,0.165,63,0.001,0.006,25,0.032,0.054,59,0.042,0.104,0.146,0.015,0.049,0.006,0.032,0.074,0.503,0,0,-0.09
218,219,MarJon Beauchamp,MIL,22,47,31,16,0.5,0.181,0.066,0.165,40.1,0.031,0.096,32.5,0.017,0.025,69.7,0.027,0.05,0.077,0.021,0.03,0.014,0.004,0.047,0.328,0,0,-0.053
219,220,Aleksej Pokusevski,OKC,21,34,16,18,0.5,0.182,0.071,0.164,43.4,0.025,0.069,36.5,0.015,0.023,62.9,0.03,0.075,0.105,0.042,0.028,0.013,0.028,0.038,0.468,3,0,-0.129
220,221,Dario Saric,OKC,28,55,25,30,0.5,0.213,0.075,0.164,45.8,0.026,0.068,38.5,0.037,0.044,84.3,0.031,0.089,0.12,0.045,0.034,0.011,0.003,0.06,0.434,1,0,0.011
221,222,Rudy Gay,UTA,36,56,29,27,0.5,0.167,0.062,0.164,37.8,0.019,0.075,25.2,0.024,0.028,85.7,0.019,0.074,0.093,0.032,0.021,0.011,0.01,0.039,0.369,0,0,0.032
222,223,Caris LeVert,CLE,28,72,43,29,0.5,0.196,0.07,0.164,42.7,0.027,0.071,38.5,0.029,0.04,72.2,0.012,0.051,0.063,0.064,0.026,0.016,0.005,0.037,0.404,1,0,0.042
223,224,Kevin Love,MIA,34,59,32,27,0.5,0.197,0.064,0.164,38.8,0.038,0.114,33.3,0.032,0.036,88.8,0.023,0.132,0.155,0.045,0.027,0.006,0.004,0.038,0.456,6,0,0.032
224,225,Nikola Jovic,MIA,19,15,7,8,0.5,0.194,0.066,0.164,40.6,0.019,0.083,22.9,0.043,0.045,94.7,0.021,0.052,0.073,0.024,0.024,0.017,0.005,0.045,0.358,0,0,-0.038
225,226,Domantas Sabonis,SAC,26,76,46,30,0.5,0.263,0.1,0.163,61.4,0.005,0.014,36.3,0.058,0.077,74.9,0.043,0.126,0.17,0.098,0.04,0.012,0.007,0.049,0.629,63,12,0.039
226,227,Coby White,CHI,23,70,35,35,0.5,0.194,0.071,0.162,43.8,0.036,0.096,37.5,0.017,0.02,86.6,0.005,0.052,0.057,0.055,0.019,0.015,0.002,0.035,0.378,0,0,0.037
227,228,Jalen Williams,OKC,21,73,35,38,0.5,0.215,0.084,0.161,52.3,0.015,0.042,35.4,0.032,0.039,80.9,0.017,0.052,0.07,0.051,0.025,0.021,0.007,0.039,0.436,3,0,-0.012
228,229,Josh Minott,MIN,20,14,6,8,0.4,0.218,0.085,0.161,52.9,0.009,0.028,33.3,0.038,0.038,100,0.024,0.095,0.118,0.019,0.014,0.019,0.028,0.047,0.517,1,0,0.142
229,230,Boban Marjanovic,HOU,34,29,5,24,0.5,0.277,0.107,0.16,66.7,0,0.003,0,0.063,0.082,76.9,0.05,0.113,0.164,0.025,0.041,0.013,0.003,0.025,0.517,0,0,0.164
230,231,Buddy Boeheim,DET,23,8,1,7,0.5,0.107,0.033,0.16,20.8,0.027,0.147,18.2,0.013,0.013,100,0.013,0.02,0.033,0.02,0,0.013,0,0.033,0.217,0,0,0.08
231,231,Jordan Hall,SAS,21,9,1,8,0.5,0.16,0.051,0.16,32.1,0.017,0.086,20,0.04,0.051,77.8,0.017,0.051,0.069,0.063,0.04,0.006,0,0.034,0.314,0,0,-0.137
232,233,Jae'Sean Tate,HOU,27,31,7,24,0.5,0.198,0.077,0.16,48,0.009,0.032,28.3,0.035,0.048,72.5,0.029,0.054,0.082,0.059,0.033,0.015,0.005,0.074,0.41,0,0,-0.066
233,234,Jock Landale,PHX,27,65,33,32,0.5,0.217,0.083,0.16,52.3,0.01,0.042,24.4,0.04,0.052,76.5,0.058,0.076,0.134,0.032,0.029,0.008,0.015,0.063,0.468,2,0,0.074
234,235,Jason Preston,LAC,23,13,3,10,0.5,0.16,0.07,0.16,43.9,0.019,0.07,27.8,0,0.008,0,0.008,0.078,0.086,0.105,0.039,0.008,0,0.027,0.404,0,0,-0.035
235,236,Thomas Bryant,DEN,25,58,32,26,0.5,0.251,0.099,0.16,62.3,0.011,0.025,42.9,0.041,0.056,73.8,0.038,0.109,0.146,0.014,0.017,0.007,0.013,0.045,0.489,9,0,-0.046
236,237,Georges Niang,PHI,29,74,49,25,0.5,0.201,0.07,0.158,44,0.049,0.123,40.1,0.013,0.015,86.4,0.006,0.052,0.058,0.025,0.016,0.01,0.005,0.048,0.335,0,0,0.037
237,238,Trevor Hudgins,HOU,24,5,0,5,0.5,0.158,0.035,0.158,22.2,0.035,0.14,25,0.053,0.053,100,0,0,0,0.053,0.018,0,0,0.018,0.219,0,0,0.053
238,239,Sandro Mamukelashvili,SAS,23,39,21,18,0.5,0.175,0.064,0.157,40.9,0.019,0.07,27.7,0.027,0.038,71.1,0.049,0.08,0.13,0.043,0.023,0.009,0.008,0.041,0.426,1,0,-0.108
239,240,Ziaire Williams,MEM,21,36,21,15,0.5,0.165,0.067,0.157,42.4,0.02,0.079,24.7,0.012,0.016,77.8,0.013,0.053,0.067,0.023,0.032,0.012,0.004,0.051,0.299,0,0,-0.061
240,241,Matt Ryan,MIN,25,33,14,19,0.5,0.179,0.059,0.157,37.4,0.047,0.122,38.6,0.015,0.018,83.3,0.006,0.032,0.038,0.022,0.01,0.007,0.001,0.04,0.274,0,0,0.04
241,242,David Roddy,MEM,22,66,42,24,0.5,0.175,0.067,0.157,42.8,0.024,0.079,30.1,0.017,0.027,63.1,0.02,0.054,0.074,0.02,0.021,0.012,0.007,0.041,0.33,0,0,-0.022
242,243,Isaiah Mobley,CLE,23,10,7,3,0.5,0.172,0.078,0.156,50,0.016,0.047,33.3,0,0,0,0.016,0.172,0.188,0,0,0.016,0.016,0.031,0.491,0,0,0.328
243,244,Derrick White,BOS,28,78,54,24,0.5,0.209,0.072,0.156,46.1,0.031,0.081,38.4,0.034,0.039,87.7,0.011,0.049,0.06,0.066,0.018,0.011,0.016,0.037,0.444,6,0,0.102
244,245,Gabe Vincent,MIA,26,64,34,30,0.5,0.177,0.063,0.156,40.1,0.032,0.096,33.3,0.02,0.022,88.3,0.008,0.032,0.04,0.045,0.027,0.017,0.001,0.044,0.322,0,0,-0.007
245,246,Nickeil Alexander-Walker,MIN,24,56,26,30,0.5,0.192,0.069,0.156,44.2,0.031,0.082,38.1,0.022,0.034,66.7,0.008,0.047,0.055,0.058,0.03,0.017,0.011,0.047,0.397,0,0,-0.04
246,247,Eric Gordon,LAC,34,66,22,44,0.5,0.206,0.07,0.155,45,0.031,0.083,37.4,0.035,0.043,82.1,0.004,0.028,0.032,0.044,0.025,0.01,0.006,0.018,0.334,0,0,-0.052
247,248,T.J. McConnell,IND,31,73,31,42,0.5,0.191,0.083,0.155,53.6,0.008,0.018,43.1,0.016,0.02,84.1,0.014,0.057,0.07,0.118,0.043,0.024,0.003,0.031,0.491,5,1,-0.025
248,249,Bruce Brown,DEN,26,76,51,25,0.5,0.192,0.075,0.155,48,0.02,0.055,36.2,0.023,0.03,74.6,0.013,0.057,0.069,0.057,0.027,0.018,0.011,0.041,0.419,3,1,0.007
